8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,encode_time,avg_cpu_util,output_file_mb,bitrate_kbps,encode_fps,cost,fidelity
0,p8x8,2,1.195380953907058,1,6,1,-4,49.801977859487394,-2:2,temporal,1,187,1,dia,60,0,0,vbr,0,16.94,16.94,329.338843,2.151382,903.861621,71.15,17.08420968055725,"['Action', '1080p', 60, '20s']"
0,p4x4,0,1.195380953907058,2,12,1,7,29.585346184273632,0:0,auto,1,326,0,hex,22,0,1,vbr,1,38.58,38.58,669.388284,16.687444,7010.905926,31.18,38.75311589241028,"['Action', '1080p', 60, '20s']"
1,p4x4,3,1.195380953907058,0,8,0,-4,29.585346184273632,0:0,auto,1,326,0,hex,17,1,1,vbr,1,10.85,10.85,933.917051,19.792247,8315.328743,112.08,11.007416486740112,"['Action', '1080p', 60, '20s']"
1,p4x4,0,1.195380953907058,0,12,0,7,29.585346184273632,0:0,auto,1,326,0,hex,17,0,1,vbr,1,10.9,10.9,867.155963,22.281029,9360.942214,110.98,11.053309440612793,"['Action', '1080p', 60, '20s']"
1,p4x4,0,1.195380953907058,0,12,0,7,29.585346184273632,0:0,auto,1,326,0,hex,22,1,1,none,1,10.4,10.4,930.576923,22.281029,9360.942214,116.34,10.543064594268799,"['Action', '1080p', 60, '20s']"
0,p4x4,0,1.195380953907058,0,9,0,0,26.763382110464214,-4:4,auto,1,445,0,hex,17,0,1,vbr,1,10.78,10.78,1028.571429,30.562537,12840.257415,112.37,10.960634469985962,"['Action', '1080p', 60, '20s']"
1,p4x4,3,1.6610864561075223,0,1,1,7,29.585346184273632,0:0,auto,1,291,0,hex,17,1,0,none,1,10.07,10.07,830.089374,14.928268,6271.822533,120.25,10.21782636642456,"['Action', '1080p', 60, '20s']"
1,p4x4,0,1.195380953907058,1,12,1,0,29.585346184273632,-4:4,auto,1,445,0,hex,17,0,1,vbr,1,11.21,11.21,888.849242,16.938839,7116.524756,107.9,11.362518072128296,"['Action', '1080p', 60, '20s']"
0,p4x4,0,1.270976006081585,2,12,0,7,26.763382110464214,0:0,auto,1,326,0,hex,17,1,0,vbr,1,38.72,38.72,678.641529,22.557075,9476.917505,31.02,38.861172676086426,"['Action', '1080p', 60, '20s']"
0,p4x4,3,1.195380953907058,0,12,1,7,29.585346184273632,-4:4,none,1,326,0,hex,22,1,0,vbr,0,10.01,10.01,1011.688312,22.468526,9439.715502,121.0,10.140552759170532,"['Action', '1080p', 60, '20s']"
1,p4x4,2,1.380266751513598,0,12,0,7,29.585346184273632,6:-6,auto,1,321,0,dia,17,0,1,vbr,1,10.95,10.95,887.579909,18.631347,7827.599068,111.02,11.09773588180542,"['Action', '1080p', 60, '20s']"
