8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,encode_time,avg_cpu_util,output_file_mb,bitrate_kbps,encode_fps,cost,fidelity
1,"p8x8,b8x8,i8x8,i4x4",1,0.46107837099877624,0,2,1,-7,49.611685072053305,6:6,auto,0,366,0,hex,24,1,0,cbr,0,9.75,9.75,781.435897,2.194904,922.146495,124.89,9.959973096847534,"['Action', '1080p', 60, '20s']"
1,p8x8,1,1.1829215883293995,1,5,0,-7,41.17992418490154,-1:1,spatial,0,115,0,dia,10,1,1,vbr,1,10.49,10.49,790.085796,4.655737,1956.017597,115.27,10.686461448669434,"['Action', '1080p', 60, '20s']"
0,all,1,1.4391906824101477,1,10,0,0,47.912096099654654,0:0,spatial,1,20,0,dia,57,0,0,vbr,0,10.25,10.25,760.585366,2.592163,1089.04706,118.12,10.451819658279419,"['Action', '1080p', 60, '20s']"
0,p4x4,3,1.386952947965777,1,3,1,8,41.222744914825164,-4:4,none,0,480,0,dia,49,0,1,none,1,9.47,9.47,862.5132,5.650499,2373.94774,128.75,9.677809715270996,"['Action', '1080p', 60, '20s']"
1,p4x4,2,1.649101111012941,1,12,1,12,46.79336288127418,5:-5,spatial,0,9,0,hex,63,0,1,cbr,1,10.45,10.45,619.712919,3.113393,1308.031631,115.79,10.640119552612305,"['Action', '1080p', 60, '20s']"
0,none,0,1.220556151585692,0,8,1,-11,47.07743722634885,4:4,spatial,0,25,0,hex,50,1,0,vbr,0,9.73,9.73,636.485098,3.403563,1429.940811,124.45,9.913720607757568,"['Action', '1080p', 60, '20s']"
0,p4x4,0,1.5885801009980811,0,13,1,3,46.936073310040975,-1:1,none,1,126,0,hex,14,0,1,vbr,1,11.12,11.12,832.104317,6.158014,2587.170307,109.22,11.333829402923584,"['Action', '1080p', 60, '20s']"
1,p4x4,1,1.671946713954201,0,10,1,3,41.332009894547255,2:-2,temporal,1,310,0,dia,8,1,0,vbr,0,10.28,10.28,789.105058,5.821115,2445.628807,118.33,10.470266819000244,"['Action', '1080p', 60, '20s']"
1,p4x4,3,1.4663890023435908,1,5,1,-9,48.44150036691085,-3:3,auto,0,4,0,dia,13,1,1,vbr,1,9.04,9.04,565.486726,3.43958,1445.072831,134.78,9.251656532287598,"['Action', '1080p', 60, '20s']"
1,p8x8,2,1.5152637942790887,0,6,0,-2,46.84630946804151,6:6,spatial,1,8,0,hex,38,0,1,cbr,1,8.46,8.46,647.044917,3.272964,1375.072565,144.3,8.66513967514038,"['Action', '1080p', 60, '20s']"
