ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,Off,On,Off,On,Off,On,On,Off,Off,Off,Off,On,On,Off,Off,On,Off,Off,0.08861684799194336,5.5100321769714355,1252968,34.75067448616028,2152160,10605,42.89734768867493,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,Off,On,On,Off,On,On,On,On,Off,On,On,On,Off,On,On,0.0893561840057373,5.475386142730713,1248872,34.583587408065796,2152160,10605,42.64350605010986,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,Off,On,On,Off,On,On,On,On,On,Off,On,Off,Off,On,On,0.0940556526184082,0.4188668727874756,237848,2.2095985412597656,356663,1676,5.11941933631897,"[10, 50, 6, 4, 5]"
On,On,Off,Off,On,Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,Off,On,0.0893867015838623,0.4176478385925293,241944,2.201343059539795,356663,1676,5.181153297424316,"[10, 50, 6, 4, 5]"
Off,Off,On,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,Off,Off,Off,On,On,0.08742642402648926,0.4105234146118164,240512,2.1865687370300293,356663,1676,5.179489850997925,"[10, 50, 6, 4, 5]"
On,Off,Off,Off,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,0.09033823013305664,0.416278600692749,237848,2.194992780685425,356663,1676,5.1801135540008545,"[10, 50, 6, 4, 5]"
Off,Off,On,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,On,On,On,On,On,Off,0.10206222534179688,0.40920591354370117,236416,2.191910982131958,356663,1676,5.112222194671631,"[10, 50, 6, 4, 5]"
On,On,Off,On,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,On,On,On,Off,Off,0.09560322761535645,0.41170668601989746,237848,2.184990406036377,356663,1676,5.243990898132324,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,On,On,On,Off,On,Off,On,On,On,On,On,Off,Off,On,Off,On,0.07529759407043457,0.40936779975891113,241944,2.203449010848999,356663,1676,5.1030755043029785,"[10, 50, 6, 4, 5]"
On,On,On,On,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,0.0984945297241211,0.4061007499694824,241944,2.1926183700561523,356663,1676,5.0568554401397705,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,On,On,On,Off,On,Off,On,On,On,On,On,Off,Off,On,Off,On,0.08638668060302734,1.4581499099731445,469384,4.291933298110962,828309,4503,8.270080804824829,"[10, 50, 6, 4, 10]"
