fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,On,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,0.0883035659790039,0.1297452449798584,17528,0.10484457015991211,28004,471,2.827562093734741,"[80, 5, 2, 1, 20]"
On,On,Off,On,Off,On,Off,On,On,On,On,Off,On,On,On,Off,On,On,Off,Off,0.08600664138793945,0.13048601150512695,18584,0.09561610221862793,28004,471,2.886789321899414,"[80, 5, 2, 1, 20]"
On,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,0.09142899513244629,0.14539241790771484,17528,0.11281132698059082,28004,471,2.973766803741455,"[80, 5, 2, 1, 20]"
Off,Off,Off,On,Off,On,On,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,On,0.08335185050964355,0.14407658576965332,18584,0.10270023345947266,28004,471,2.9176559448242188,"[80, 5, 2, 1, 20]"
Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,Off,On,On,0.10748076438903809,0.21033930778503418,55440,0.12793207168579102,38912,481,2.9988930225372314,"[50, 20, 1, 1, 25]"
Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,0.08896636962890625,0.16031694412231445,55440,0.11586856842041016,38912,481,2.9423668384552,"[50, 20, 1, 1, 25]"
On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,On,On,Off,0.08734774589538574,0.20477652549743652,55440,0.12447667121887207,38912,481,2.984900951385498,"[50, 20, 1, 1, 25]"
Off,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,On,0.09684300422668457,0.17484807968139648,54400,0.09874176979064941,38912,481,2.9435038566589355,"[50, 20, 1, 1, 25]"
On,On,Off,Off,On,On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,0.08209419250488281,0.17445826530456543,54400,0.1195831298828125,38912,481,2.852410078048706,"[50, 20, 1, 1, 25]"
Off,On,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,On,Off,Off,On,On,On,0.0988762378692627,0.16961264610290527,54400,0.1078498363494873,38912,481,2.879584789276123,"[50, 20, 1, 1, 25]"
On,Off,On,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,0.08671069145202637,0.2037813663482666,54400,0.12691068649291992,38912,481,2.9137048721313477,"[50, 20, 1, 1, 25]"
On,On,Off,On,Off,On,Off,On,On,On,On,Off,On,On,On,Off,On,On,Off,Off,0.09102630615234375,0.16446161270141602,55440,0.11847257614135742,38912,481,2.845555067062378,"[50, 20, 1, 1, 25]"
On,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,0.0886983871459961,0.16468501091003418,54400,0.11472558975219727,38912,481,2.947624444961548,"[50, 20, 1, 1, 25]"
Off,Off,Off,On,Off,On,On,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,On,0.09859561920166016,0.15490221977233887,55440,0.10603189468383789,38912,481,2.7626864910125732,"[50, 20, 1, 1, 25]"
Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,Off,On,On,0.09534263610839844,0.28244876861572266,71496,0.17815017700195312,63236,539,3.07375168800354,"[80, 15, 1, 4, 10]"
Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,0.08238554000854492,0.15943288803100586,67400,0.17122459411621094,63236,539,2.9549691677093506,"[80, 15, 1, 4, 10]"
On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,On,On,Off,0.08089208602905273,0.19533753395080566,71496,0.13767457008361816,63236,539,2.9699079990386963,"[80, 15, 1, 4, 10]"
Off,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,On,0.07565522193908691,0.15956544876098633,66360,0.1508350372314453,63236,539,2.8613712787628174,"[80, 15, 1, 4, 10]"
On,On,Off,Off,On,On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,0.08373379707336426,0.17672252655029297,70456,0.15990591049194336,63236,539,2.880136013031006,"[80, 15, 1, 4, 10]"
Off,On,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,On,Off,Off,On,On,On,0.10474562644958496,0.17326617240905762,70456,0.12879586219787598,63236,539,2.9633121490478516,"[80, 15, 1, 4, 10]"
On,Off,On,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,0.09520244598388672,0.1750192642211914,66360,0.1552138328552246,63236,539,2.956200122833252,"[80, 15, 1, 4, 10]"
On,On,Off,On,Off,On,Off,On,On,On,On,Off,On,On,On,Off,On,On,Off,Off,0.09267592430114746,0.1676335334777832,67400,0.163360595703125,63236,539,2.8641152381896973,"[80, 15, 1, 4, 10]"
On,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,0.09222888946533203,0.17138051986694336,70456,0.151322603225708,63236,539,2.9116644859313965,"[80, 15, 1, 4, 10]"
